City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
634,Praya,CV,77.0,few clouds,14.92,-23.51,LT Aparthotel
635,Ouahigouya,BF,78.17,scattered clouds,13.58,-2.42,Hotel Liberte
639,Port Hedland,AU,96.8,clear sky,-20.32,118.57,The Esplanade Hotel
640,Salinopolis,BR,78.76,scattered clouds,-0.61,-47.36,Hotel Salinópolis
641,Lashio,MM,81.03,overcast clouds,22.93,97.75,Hotel CF Lashio - Burmese Only
643,Ryotsu,JP,75.2,broken clouds,38.08,138.43,Sadokamoko Onsen Kohanno Yado Yoshidaya
649,Fukue,JP,75.2,scattered clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
650,Bull Savanna,JM,76.77,overcast clouds,17.89,-77.59,Big Red's
653,Naze,JP,84.2,few clouds,28.37,129.48,奄美ポートタワーホテル
657,Barhi,IN,80.53,scattered clouds,23.9,80.8,"Govt , st senior boys hostel Barhi"
658,Muroto,JP,82.4,few clouds,33.28,134.15,Oota Ryokan
661,Kawalu,ID,85.57,broken clouds,-7.38,108.21,KOSAN UNGU UNSIK
666,Luxor,EG,80.6,clear sky,25.7,32.64,Iberotel Luxor
669,Doha,QA,91.0,clear sky,25.29,51.53,Doha Marriott Hotel
672,Kampot,KH,87.8,light rain,10.62,104.18,Champa Lodge
673,Port Macquarie,AU,78.8,clear sky,-31.43,152.92,Rydges Port Macquarie
674,Tete,MZ,75.2,few clouds,-16.16,33.59,Zambeze Paraíso Misterioso
679,Santa Rita,BR,75.2,broken clouds,-7.11,-34.98,Infinity Motel
684,Mamallapuram,IN,80.6,mist,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
685,Todos Santos,MX,84.0,clear sky,23.45,-110.22,Hotel California Todos Santos
690,Nelson Bay,AU,77.0,scattered clouds,-32.72,152.15,Mantra Nelson Bay
692,Bambanglipuro,ID,87.01,scattered clouds,-7.95,110.28,Puri Brata
699,Taoudenni,ML,91.35,clear sky,22.68,-3.98,
700,Boa Vista,BR,82.4,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
704,Miri,MY,87.8,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
705,Ilam,NP,76.51,scattered clouds,26.92,87.92,Chiyabari Cottage
707,Manoharpur,IN,84.2,haze,27.3,75.95,कैथल हरियाणा होटल
709,Merauke,ID,84.42,broken clouds,-8.47,140.33,
