city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
182,Poptun,GT,16.33,-89.42,68.56,100,91,2.84,moderate rain
183,Portland,US,45.52,-122.68,72.0,64,75,2.15,smoke
184,Leningradskiy,RU,69.38,178.42,33.48,87,100,0.36,overcast clouds
185,Saint Anthony,US,45.02,-93.22,50.0,81,90,8.05,overcast clouds
186,Lavumisa,SZ,-27.31,31.89,60.8,93,21,4.85,few clouds
187,Grand Gaube,MU,-20.01,57.66,73.99,71,2,5.01,clear sky
188,Caldono,CO,2.8,-76.48,57.24,86,21,3.85,light rain
189,Capaci,IT,38.17,13.24,71.6,88,40,3.36,scattered clouds
190,Olafsvik,IS,64.89,-23.71,38.1,85,100,4.65,overcast clouds
191,Half Moon Bay,US,37.46,-122.43,75.2,77,40,5.82,scattered clouds
192,Narsaq,GL,60.92,-46.05,28.4,46,5,4.7,clear sky
193,Puerto Escondido,MX,15.85,-97.07,79.09,77,99,3.02,overcast clouds
194,Magadan,RU,59.57,150.8,50.23,62,0,2.08,clear sky
195,Lakes Entrance,AU,-37.88,147.98,66.0,42,0,3.0,clear sky
196,Yamoussoukro,CI,6.82,-5.28,73.4,100,75,1.81,broken clouds
197,Beberibe,BR,-4.18,-38.13,80.6,74,75,17.22,broken clouds
198,Mahebourg,MU,-20.41,57.7,66.2,93,75,4.7,broken clouds
199,Otane,NZ,-39.88,176.63,60.01,53,74,6.53,broken clouds
200,Horsham,GB,51.06,-0.33,53.6,100,20,4.7,few clouds
201,Roald,NO,62.58,6.13,55.0,78,65,1.99,broken clouds
202,Hami,CN,42.8,93.45,59.34,28,0,14.43,clear sky
203,Turukhansk,RU,65.82,87.98,31.42,93,98,3.02,overcast clouds
204,Marsh Harbour,BS,26.54,-77.06,83.01,74,20,5.99,light rain
205,Nome,US,64.5,-165.41,48.99,61,90,16.11,overcast clouds
206,Suraabad,AZ,40.82,49.47,53.6,76,18,4.7,few clouds
207,Changji,CN,44.02,87.32,53.6,32,0,2.24,clear sky
208,Maningrida,AU,-12.07,134.27,87.91,51,61,16.53,broken clouds
209,Bethel,US,41.37,-73.41,60.8,59,1,9.17,clear sky
210,Honningsvag,NO,70.98,25.97,51.8,81,75,10.29,broken clouds
211,Karoi,ZW,-16.81,29.69,62.92,68,7,9.84,clear sky
212,Salta,AR,-24.79,-65.41,62.6,42,5,2.24,clear sky
213,Vanimo,PG,-2.67,141.3,75.38,88,100,9.53,moderate rain
214,Skibbereen,IE,51.55,-9.27,41.0,93,34,5.82,scattered clouds
